year,title,composer,writer,singer,spotify_id,youtube_urL??,lyrics,theme/genre
2004,Home remix,Dick Lee,Dick Lee,Kit Chan and JJ Lin,1vo8399T9sWFZ9vbrEcTL5,https://youtu.be/WEeMv5WONYE,"Whenever I am feeling low
 I look around me and I know
 There's a place that will stay within me
 Wherever I may choose to go
 I will always recall the city
 Know every street and shore
 Sail down the river which brings us life
 Winding through my Singapore
 This is home truly, where I know I must be
 Where my dreams wait for me, where the river always flows
 This is home surely, as my senses tell me
 This is where I won't be alone, for this is where I know it's home
 When there are troubles to go through
 We'll find a way to start anew
 There is comfort in the knowledge
 That home's about its people too
 So we'll build our dreams together
 Just like we've done before
 Just like the river which brings us life
 There'll always be Singapore
 This is home truly, where I know I must be
 Where my dreams wait for me, where the river always flows
 This is home surely, as my senses tell me
 This is where I won't be alone, for this is where I know it's home
 This is home truly, where I know I must be
 Where my dreams wait for me, where the river always flows
 This is home surely, as my senses tell me
 This is where I won't be alone, for this is where I know it's home
 For this is where I know it's home
 For this is where I know I'm home",
2005,Reach Out for the Skies,Elaine Chan,Selena Tan,Taufik Batisah and Rui En,7phKkEWEipo3sDrZJiG9uJ,https://youtu.be/ic3SXtPzeMQ,"At a time when hope was low
 The journey seemed unsure
 But through it all
 We've kept the flame alive
 
 Now standing proud and tall
 Our spirit strong and free
 Building on hopes and dreams
 It's here we want to be
 
 Let's reach out for the skies
 With wings we soar up high
 Our dreams we'll all achieve
 We'll make our destiny
 
 Let's reach out for the skies
 With wings we soar up high
 Our dreams we'll all achieve
 Let's soar and reach for the skies
 
 When I think about my dreams
 The future it can be
 The time has come for me
 To strive and to achieve
 
 With hopes within our hearts
 As one hand in hand
 For family and our friends
 Let's do the best we can
 
 Let's reach out for the skies
 With wings we soar up high
 Our dreams we'll all achieve
 We'll make our destiny
 
 Let's reach out for the skies
 With wings we soar up high
 Our dreams we'll all achieve
 Let's soar and reach for the skies
 
 Our dreams we'll all achieve
 Let's soar and reach for the skies
 
 We can touch the skies",
2006,My Island Home,Joshua Wan,Joshua Wan,Kaira Gong,2w5L5kQVkSRdduNewYPDA5,https://youtu.be/TLMbFYkYNyI,"This is my home
 She's everything to me
 Grace and beauty
 In all that you see
 
 My island home
 Wherever I may be
 I never will forget her
 Nor will she forget me
 
 And I will sing
 A song of home
 A land of peace
 Where dreams are born every day
 My home
 Wherever I may be
 I believe
 You will always be a part of me
 
 My island home
 Home of my family
 This is my future
 Where I want to be
 (This is my future
 This is my home)
 
 And I will sing
 A song of home
 A land of peace
 Where dreams are born every day
 My home
 Wherever I may be
 I believe
 You will always be a part of me
 
 And I will sing
 A song of home
 A land of peace
 Where dreams are born every day
 My home
 Wherever I may be
 I believe
 You will always be a part of me
 
 My home
 Wherever I may be
 I believe
 You will always be a part of me
 A part of me",
2007,There’s No Place I’d Rather Be,Jimmy Ye,Jimmy Ye,Kit Chan,2kACPmwS9MxrNCT0vcI1nP,https://youtu.be/3wXZYczZPsE,"I've walked the streets of Cairo and Bombay
 I've seen the neon signs on old Broadway
 I've climbed the Eiffel Tower
 The Great Wall in one hour
 Experienced sweet and sour but that's okay
 
 Seen Hollywood, the sunsets in LA
 The London Bridge, Big Ben, The Thames, UK
 I've crossed the River Kwai
 Yet still I don't know why
 I think of you each night and every day
 
 There's no place I'd rather be
 You'll always be a part of me
 And even though I've roamed the world
 It's still my home I long to see
 
 This is where my family
 And my friends grew up with me
 So I'll cross the skies and sail the seas
 To be where I wanna be
 
 'Cause there's no place I'd rather be",
2007,Will you,Jimmy Ye,Jimmy Ye,"Janani Sridhar, Asha Edmund, Emma Yong, Lily Ann Rahmat, Jai Wahab, Shabir Mohammed, Sebastian Tan, Gani Karim",2kACPmwS9MxrNCT0vcI1nP,https://www.youtube.com/watch?v=acin-y0AQoM,"Will you make this island
 Amazing in all ways?
 Surprises every corner
 Delightful nights and days
 
 Will you take this country
 And turn it from a place
 To a home that greets you
 With smiles on every face?
 
 Will you come on this brave journey?
 Will you help to make it real?
 Will you write us grand new stories
 Songs that everyone will feel?
 
 So will you swim the current?
 Will you scale new heights?
 Will you make it happen?
 Will you let your dreams take flight?
 
 And will you make the difference?
 Will you seize the day?
 Will you live each moment?
 Will you dare to find new ways?
 
 Will you take this city
 And turn it from a place
 To a home that greets you
 With smiles on every face?
 
 Will you come on this brave journey?
 Will you help to make it real?
 Will you write us grand new stories
 Songs that everyone will feel?
 
 So will you swim the current?
 Will you scale new heights?
 Will you make it happen?
 Will you let your dreams take flight?
 
 And will you make the difference?
 Will you seize the day?
 Will you live each moment?
 Will you dare to find new ways?",
2008,Shine for Singapore,Benny Wong,Benny Wong,Joi Chua and Hady Mirza,30QbxMta1DGgfcHUc9GfKi,https://www.youtube.com/watch?v=nSR8w0vaLXI,"Have you seen a star,
 One that guides you no matter where you are?
 However vast the sky may be
 Or dark it seems
 You can be sure, it's always there for you and me
 
 Have you heard a song,
 One that moved you, one that made you sing along?
 Your dreams and hopes will all come true
 If you believe that every vision begins with you.
 
 Shine for Singapore
 This is your song,
 Deep inside your heart where it belongs
 It'll always stay. Strive for your goals,
 You will achieve with visions so bold.
 
 Shine for Singapore
 This is our song
 Reach out for the sky, far and beyond
 As one we'll stand, we're Singapore
 It's here that we belong
 
 Have you heard a song,
 One that moved you, one that made you sing along?
 Your dreams and hopes will all come true
 If you believe that every vision begins with you.
 
 Shine for Singapore
 This is your song,
 Deep inside your heart where it belongs
 It'll always stay. Strive for your goals,
 You will achieve with visions so bold.
 
 Shine for Singapore
 This is our song
 Reach out for the sky, far and beyond
 As one we'll stand, we're Singapore
 It's here that we belong
 
 Nowhere I'd rather be, this is home to me
 This star shines strong and free",
2009,What Do You See,Electrico,Electrico,Electrico,21gm9fNWcgpWyPY3a9t7FZ,https://www.youtube.com/watch?v=GKAMTOx0nNw,"There's a jewel on the ocean,
 a gem upon the sea
 Where the future is an open book
 A land of destiny
 We could set our sights into the wind and sail the seven seas
 or climb the highest mountain top as long as we believe
 What do you see? What do you see?
 
 See the moon and the stars, look how far we have come
 Look around at our faces, they shine brightly in the sun
 With our hopes and dreams, imagine what tomorrow it may bring
 What do you see? What do you see?
 
 Now the time has come to reach out,
 To open up to see
 That we stand together in this land
 Cos we are family
 As thoughts of reaching to the sky are carried on a dream
 With hearts and minds united, our dreams we will achieve
 What do you see? What do you see?
 
 See the moon and the stars, look how far we have come
 Look around at our faces, they shine brightly in the sun
 With our hopes and dreams, imagine what tomorrow it may bring
 What do you see
 
 What do you see when life makes you take on a mountain
 Youll see that nothings gonna stand in your way
 Together we can share
 The strength of a million
 and the courage of a million more
 
 See the moon and the stars, look how far we have come
 Look around at our faces, they shine brightly in the sun
 With our hopes and dreams, imagine what tomorrow it may bring
 Cos the skys the only limit when youre not afraid to dream
 What do you see? What do you see...",
2010,Song for Singapore,Corrinne May,Corrinne May,Corrinne May,3S19ddIcYfyYhw7ZwKm58w,https://www.youtube.com/watch?v=oGY5ff831B8,"It's a brand new day a brand new story
 I remembered the way it used to be
 We've come so far
 You're my history you're my beginning
 In all I've done I've been nurtured in your arms
 And you carried me this far
 
 Chorus:
 I want to sing
 Sing a song for Singapore
 With every generation there's more to be grateful for
 
 So come and sing
 Sing a song for Singapore
 You're my brother you're my sister
 I'm thankful for my Singapore
 My Singapore
 Singapore
 
 Come together everybody
 Fly the flag and share our story
 Live our wildest dreams
 Celebrate the red and white
 The moon and stars in harmony unite
 Let every colour every heart
 
 Chorus:
 Come on and sing
 Sing a song for Singapore
 With every generation there's more to be grateful for
 
 So come and sing
 Sing a song for Singapore
 You're my brother you're my sister
 I'm thankful for my Singapore
 My Singapore
 Singapore
 
 Bridge:
 We've had our ups and downs
 Sometimes the best things are taken for granted
 You're my family you're my home
 
 Chorus:
 I want to sing
 Sing a song for Singapore
 With every generation there's more to be grateful for
 
 So come and sing
 Sing a song for Singapore
 You're my brother you're my sister
 I'm thankful for my Singapore
 My Singapore
 Singapore",
2011,In a Heartbeat,Goh Kheng Long,Haresh Sharma,Sylvia Ratonel,14dThbrteRM57dxmpV26a8,https://www.youtube.com/watch?v=VIgoiKKa9_E,"I have a dream of starting a life 
 I have a hope, a flame alight 
 This is the moment, freedom is calling 
 This is my start, a new beginning 
 
 I have a heart, it beats for you 
 A step at a time, our spirit renew 
 Living together under the sun 
 Our hearts will beat as one 
 
 In a heartbeat, I’ll be there for you 
 In a heartbeat, no one else will do 
 In a heartbeat, we will always be 
 Together, united; you and me 
 
 In a heartbeat, time has passed us by 
 In a heartbeat, we will reach the sky 
 In a heartbeat, this will always be 
 Our people, our country 
 This is our family 
 
 Nothing will stand in our way 
 We can be strong today 
 The flame is alive 
 This is our life 
 
 In a heartbeat, I’ll be there for you 
 In a heartbeat, no one else will do 
 In a heartbeat, we will always be 
 Together, united; you and me 
 
 In a heartbeat, time has passed us by 
 In a heartbeat, we will reach the sky 
 In a heartbeat, this will always be 
 Our people, our country 
 This is our family",
2012,Love at First Light,Iskandar Ismail,Paul Tan,Olivia Ong and Natanya Tan,1W5ss3pBJ3W0v8gPhbLl8C,https://www.youtube.com/watch?v=ANTvzs6Hzpc,"First light
 Rolls across my peaceful isle
 Mornings, I wake up, refreshed, renewed
 Ready to meet the bright new day
 So much to look forward to
 
 
 Daylight
 The city has stirred to life
 Your smiles
 Put a spring in my step
 There's a feeling that binds us one and all
 Different stories, shared memories
 
 Chorus I love my city's lively ways Warm sunny days Sights and sounds, special tastes That add up to this place I love my friends, my closest ties Now I finally realize When it feels this right You know that it's love at first light Night fall, stars twinkling on the bay My dreams can take flight if I dare There's a feeling that binds us one and all We look forward to a brighter day [CHORUS] Hand in hand, we'll find new strength And see our dreams take flight in Singapore [CHORUS] Where ever we roam, there's no place like home Come what may, we'll be here to stay When it feels this right You know that it's Love at first light",
2013,One Singapore,Elaine Chan,Selena Tan,Sing A Nation choir,4i0uKI1dwo2KEzLhsF8CWr,https://www.youtube.com/watch?v=AtZmmtyKS7E,"I will be here
 Right by your side, here
 I will hold near
 All that we love so dear
 Not looking elsewhere
 My life is here to share
 Just want to show I care
 
 I know we just got started
 And I’m excited
 It may not seem all perfect
 But you know what?
 Our story’s just beginnin’
 I’m gonna give it my all
 Oh yea
 
 Pre-Chorus Together we can reach for the stars (with hope in our hearts) Together we are stronger as one (let’s walk hand in hand) Together we’ll make dreams come true (won’t ever give up) Together sharing the love with all that we do Chorus Let our hearts sing Wooh ho-oh^oh! Wooh ho-oh. oh,oh! Wooh ho-oh^oh! Wooh-ho-oh-oh.oh, Together Together as one We’re so much more One Singapore [repeat] It seems like so long ago When we got started We wanted everything right But you know what Our story keeps on going We’ll give it our all [Pre-Chorus] Rap Yo! I may look like I’m just a tiny thing Here I am, I can bravely sing For sure I’m gonna give you my everything Like how I play when that recess bell rings I’m gonna give it my all Cos this is my home I love I love I love I love my Singapore [Chorus] Let’s join up the dots Light up this spot That we call home Many memories and stories to be shared Like the colours of the rainbow we will shine ever so bright Together we shine Together we shine [Chorus x 2]",
2015,Our Singapore,Dick Lee,Dick Lee,JJ Lin,5WtMlbTDNZlbN8xZ5zfXva,https://youtu.be/-docVbsuMFU,"It isn't easy building something out of nothing 
 Especially when the road ahead’s a rocky one 
 But if we gather all our courage and conviction, 
 And hold our dream up high, 
 The challenge will be won. 
 
 CHORUS So now we look around us and we see A nation built with love by you and me A land to treasure right down to the core Our home, our heart, our Singapore. Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh Our home, our heart, our Singapore. Through many years gone by, we’ve moved ahead together We’ve built a brave new world where we could shine and grow And now we only have to look towards tomorrow To carry on the dream as far as it will go. [CHORUS] And amazing as it seems, It all started with a dream. And our dreaming isn't done ‘Cause the best is yet to come. [CHORUS] Our home, Our heart, Our dream, Our Singapore. Our Singapore.","50th anniversary.
The lyrics call for Singaporeans to ""look towards tomorrow"" and ""to carry on the dream as far as it will go"". "
2016,Tomorrow's Here Today,Don Richmond,Don Richmond,53A,6cHJBXRYMS2vCPeO2IaSKY,https://youtu.be/xUMjaFWhY1w,"Raise your head to the skies
 This is how we all begin
 See the fire in your eyes
 Feel the yearning deep within
 
 Take a leap and you will fly
 With all the wishes that you own
 Make your dreams light up the sky
 Home is where you’re not alone
 
 Pre-Chorus And our hearts will beat together Echoing what dreams may come Walking tall in any weather Time has come bang the drum Cause tomorrow's here today Chorus Dream away Take the world by the hand Cause tomorrow's here today Dream away Come let's go right away Cause tomorrow's here today Step into a brand new day Tomorrow's calling out your name When you know just who you are You can't stop you are on fire Looking up beyond the stars Fly the flag and raise it higher [Pre-Chorus] [Chorus] When we run along And we’re standing tall When we sing our song No way that we can fall Be what we want to be When we make our way Till it’s plain to see Tomorrow’s here today [Chorus]",
2017,Because it's Singapore,Lee Wei Song,Jay Lim,Jay Lim,,https://youtu.be/DI2TeyDJ7Zo,"Step by step
 Together we'll build our dreams
 Heart to heart
 Together we'll stay as one nation, undivided
 Back to back
 Together we'll brave the heat, the cold, the storms
 Hand in hand
 Together we'll grow this land that we call home
 
 Nothing in this world compares
 It's our Singaporean Life
 Everyone is family, friend and neighbour
 Living in harmony
 
 Nothing in this world compares
 To this island where it's home
 Where we love and know we'll never be alone
 Because it's Singapore (Just Believe)
 This is Singapore (We Can Be)
 Our Singapore (The world will see)
 We are Singapore
 
 [repeat]",
2018,We are Singapore remix,Charlie Lim,Charlie Lim,"Featuring Vanessa Fernandez, Aisyah Aziz, Shak’thiya Subramaniamm, THELIONCITYBOY, Joanna Dong, and ITE Show Choir",1lGjzrY3N3yfiK1fBFzCGB,https://youtu.be/__pmy8a17pM,"How many times have you heard them say;
 “The future is uncertain and everything must change”
 Well all of my worries and all of my fears
 Begin to lose their weight, when I hold you near
 
 If all that we are is what we believe
 Then I know I’ve got to be the change I want to see
 How easy we forget that everything takes time
 No, nothing's ever perfect, but I still call you mine
 
 This is my country, this is my flag
 This is my future, this is my life
 This is my family, these are my friends
 We are Singapore, Singaporeans
 
 This is my country, this is my flag
 This is my future, this is my life
 This is my family, these are my friends
 We are Singapore, Singaporeans
 
 We, the citizens of Singapore,
 pledge ourselves as one united people,
 regardless of race, language or religion,
 to build a democratic society
 based on justice and equality
 so as to achieve happiness, prosperity
 and progress for our nation.
 
 This is my country, this is my flag
 This is my future, this is my life
 This is my family, these are my friends
 We are Singapore, Singaporeans
 
 We are Singapore, we are Singapore
 We will stand together, hear the lion roar
 We are Singapore, we are Singapore
 We’re a nation strong and free forever more
 (This is my country, this is my flag) We are Singapore, we are Singapore
 (This is my future, this is my life) We will stand together, hear the lion roar
 (This is my family, these are my friends) We are Singapore, we are Singapore
 We are Singapore, Singaporeans
 We are Singapore, Singaporeans",
2000,Yellow,,,,3AJwUDP919kvQ9QcozQPxg,,,
2011,Paradise,,,,6nek1Nin9q48AVZcWs9e9D,,,
2008,Viva la vida,,,,1mea3bSkSGXuIRvnydlB5b,,,
